Postal Code,Place Name,County,State Code,State
99571,Cold Bay,Aleutians East,AK,Alaska
99661,Sand Point,Aleutians East,AK,Alaska
99523,Anchorage,Anchorage Municipality,AK,Alaska
99529,Anchorage,Anchorage Municipality,AK,Alaska
99577,Eagle River,Anchorage Municipality,AK,Alaska
99551,Akiachak,Bethel Census Area,AK,Alaska
99559,Bethel,Bethel Census Area,AK,Alaska
99607,Kalskag,Bethel Census Area,AK,Alaska
99679,Tuluksak,Bethel Census Area,AK,Alaska
99707,Fairbanks,Fairbanks North Star,AK,Alaska
99709,Fairbanks,Fairbanks North Star,AK,Alaska
99611,Kenai,Kenai Peninsula,AK,Alaska
99901,Ketchikan,Ketchikan Gateway,AK,Alaska
99643,Old Harbor,Kodiak Island,AK,Alaska
99563,Chevak,Kusilvak,AK,Alaska
99581,Emmonak,Kusilvak,AK,Alaska
99623,Wasilla,Matanuska-Susitna Borough,AK,Alaska
99667,Skwentna,Matanuska-Susitna Borough,AK,Alaska
99721,Anaktuvuk Pass,North Slope,AK,Alaska
99761,Noatak,Northwest Arctic,AK,Alaska
99923,Hyder,Prince of Wales-Hyder,AK,Alaska
99689,Yakutat,Skagway-Hoonah-Angoon,AK,Alaska
99829,Hoonah,Skagway-Hoonah-Angoon,AK,Alaska
99833,Petersburg,Wrangell-Petersburg (C,AK,Alaska
99929,Wrangell,Wrangell-Petersburg (C,AK,Alaska
99733,Circle,Yukon-Koyukuk (CA),AK,Alaska
99767,Rampart,Yukon-Koyukuk (CA),AK,Alaska
36067,Prattville,Autauga,AL,Alabama
36749,Jones,Autauga,AL,Alabama
36527,Spanish Fort,Baldwin,AL,Alabama
36551,Loxley,Baldwin,AL,Alabama
36559,Montrose,Baldwin,AL,Alabama
36017,Clio,Barbour,AL,Alabama
36793,Lawley,Bibb,AL,Alabama
36061,Perote,Bullock,AL,Alabama
36037,Greenville,Butler,AL,Alabama
36277,Weaver,Calhoun,AL,Alabama
35983,Leesburg,Cherokee,AL,Alabama
35171,Thorsby,Chilton,AL,Alabama
36913,Melvin,Choctaw,AL,Alabama
36919,Silas,Choctaw,AL,Alabama
36451,Grove Hill,Clarke,AL,Alabama
36251,Ashland,Clay,AL,Alabama
36269,Muscadine,Cleburne,AL,Alabama
36473,Range,Conecuh,AL,Alabama
35089,Kellyton,Coosa,AL,Alabama
36467,Opp,Covington,AL,Alabama
35053,Crane Hill,Cullman,AL,Alabama
35083,Holly Pond,Cullman,AL,Alabama
36761,Minter,Dallas,AL,Alabama
36767,Orrville,Dallas,AL,Alabama
35963,Dawson,DeKalb,AL,Alabama
35593,Vina,Franklin,AL,Alabama
36313,Bellwood,Geneva,AL,Alabama
35491,West Greene,Greene,AL,Alabama
36353,Newville,Henry,AL,Alabama
36373,Shorterville,Henry,AL,Alabama
36319,Columbia,Houston,AL,Alabama
36343,Gordon,Houston,AL,Alabama
35771,Section,Jackson,AL,Alabama
35023,Bessemer,Jefferson,AL,Alabama
35111,Mc Calla,Jefferson,AL,Alabama
35117,Mount Olive,Jefferson,AL,Alabama
35201,Birmingham,Jefferson,AL,Alabama
35221,Birmingham,Jefferson,AL,Alabama
35291,Birmingham,Jefferson,AL,Alabama
35617,Cloverdale,Lauderdale,AL,Alabama
35677,Waterloo,Lauderdale,AL,Alabama
36877,Smiths Station,Lee,AL,Alabama
35671,Tanner,Limestone,AL,Alabama
36083,Tuskegee,Macon,AL,Alabama
35759,Meridianville,Madison,AL,Alabama
35801,Huntsville,Madison,AL,Alabama
35803,Huntsville,Madison,AL,Alabama
35809,Huntsville,Madison,AL,Alabama
35897,Huntsville,Madison,AL,Alabama
35899,Huntsville,Madison,AL,Alabama
35543,Bear Creek,Marion,AL,Alabama
35747,Grant,Marshall,AL,Alabama
35951,Albertville,Marshall,AL,Alabama
36523,Coden,Mobile,AL,Alabama
36541,Grand Bay,Mobile,AL,Alabama
36571,Saraland,Mobile,AL,Alabama
36587,Wilmer,Mobile,AL,Alabama
36607,Mobile,Mobile,AL,Alabama
36671,Mobile,Mobile,AL,Alabama
36691,Mobile,Mobile,AL,Alabama
36457,Megargel,Monroe,AL,Alabama
36013,Cecil,Montgomery,AL,Alabama
36107,Montgomery,Montgomery,AL,Alabama
36109,Montgomery,Montgomery,AL,Alabama
36131,Montgomery,Montgomery,AL,Alabama
36191,Montgomery,Montgomery,AL,Alabama
35603,Decatur,Morgan,AL,Alabama
35447,Carrollton,Pickens,AL,Alabama
35461,Ethelsville,Pickens,AL,Alabama
36263,Graham,Randolph,AL,Alabama
36871,Pittsview,Russell,AL,Alabama
35051,Columbiana,Shelby,AL,Alabama
36901,Bellamy,Sumter,AL,Alabama
35149,Sycamore,Talladega,AL,Alabama
35401,Tuscaloosa,Tuscaloosa,AL,Alabama
35407,Tuscaloosa,Tuscaloosa,AL,Alabama
35449,Coaling,Tuscaloosa,AL,Alabama
35573,Kansas,Walker,AL,Alabama
36529,Deer Park,Washington,AL,Alabama
36583,Tibbie,Washington,AL,Alabama
72073,Humphrey,Arkansas,AR,Arkansas
71663,Portland,Ashley,AR,Arkansas
72617,Big Flat,Baxter,AR,Arkansas
72623,Clarkridge,Baxter,AR,Arkansas
72719,Centerton,Benton,AR,Arkansas
72733,Gateway,Benton,AR,Arkansas
72739,Hiwasse,Benton,AR,Arkansas
71647,Hermitage,Bradley,AR,Arkansas
71671,Warren,Bradley,AR,Arkansas
72613,Beaver,Carroll,AR,Arkansas
71999,Arkadelphia,Clark,AR,Arkansas
72461,Rector,Clay,AR,Arkansas
71861,Taylor,Columbia,AR,Arkansas
72421,Cash,Craighead,AR,Arkansas
72467,State University,Craighead,AR,Arkansas
72379,Snow Lake,Desha,AR,Arkansas
72047,Enola,Faulkner,AR,Arkansas
72173,Vilonia,Faulkner,AR,Arkansas
72949,Ozark,Franklin,AR,Arkansas
71909,Hot Springs Village,Garland,AR,Arkansas
71933,Bonnerdale,Hot Spring,AR,Arkansas
71941,Donaldson,Hot Spring,AR,Arkansas
72019,Benton,Hot Spring,AR,Arkansas
71971,Umpire,Howard,AR,Arkansas
72503,Batesville,Independence,AR,Arkansas
72043,Diaz,Jackson,AR,Arkansas
72169,Tupelo,Jackson,AR,Arkansas
72431,Grubbs,Jackson,AR,Arkansas
72469,Strawberry,Lawrence,AR,Arkansas
72341,Haynes,Lee,AR,Arkansas
72661,Oakland,Marion,AR,Arkansas
71837,Fouke,Miller,AR,Arkansas
72313,Bassett,Mississippi,AR,Arkansas
71711,Camden,Ouachita,AR,Arkansas
72353,Lambrook,Phillips,AR,Arkansas
72367,Mellwood,Phillips,AR,Arkansas
72383,Turner,Phillips,AR,Arkansas
72679,Tilly,Pope,AR,Arkansas
72823,Atkins,Pope,AR,Arkansas
72053,College Station,Pulaski,AR,Arkansas
72103,Mabelvale,Pulaski,AR,Arkansas
72211,Little Rock,Pulaski,AR,Arkansas
72221,Little Rock,Pulaski,AR,Arkansas
72223,Little Rock,Pulaski,AR,Arkansas
72227,Little Rock,Pulaski,AR,Arkansas
72089,Bryant,Saline,AR,Arkansas
72167,Traskwood,Saline,AR,Arkansas
72901,Fort Smith,Sebastian,AR,Arkansas
72923,Barling,Sebastian,AR,Arkansas
72937,Hackett,Sebastian,AR,Arkansas
72577,Sidney,Sharp,AR,Arkansas
72533,Fifty Six,Stone,AR,Arkansas
72031,Clinton,Van Buren,AR,Arkansas
72701,Fayetteville,Washington,AR,Arkansas
72727,Elkins,Washington,AR,Arkansas
72959,Winslow,Washington,AR,Arkansas
72139,Russell,White,AR,Arkansas
72101,Mc Crory,Woodruff,AR,Arkansas
85607,Douglas,Cochise,AZ,Arizona
85627,Pomerene,Cochise,AZ,Arizona
85643,Willcox,Cochise,AZ,Arizona
85931,Forest Lakes,Coconino,AZ,Arizona
86011,Flagstaff,Coconino,AZ,Arizona
86017,Munds Park,Coconino,AZ,Arizona
86351,Sedona,Coconino,AZ,Arizona
85531,Central,Graham,AZ,Arizona
85009,Phoenix,Maricopa,AZ,Arizona
85021,Phoenix,Maricopa,AZ,Arizona
85027,Phoenix,Maricopa,AZ,Arizona
85037,Phoenix,Maricopa,AZ,Arizona
85061,Phoenix,Maricopa,AZ,Arizona
85087,New River,Maricopa,AZ,Arizona
85201,Mesa,Maricopa,AZ,Arizona
85213,Mesa,Maricopa,AZ,Arizona
85259,Scottsdale,Maricopa,AZ,Arizona
85297,Gilbert,Maricopa,AZ,Arizona
85303,Glendale,Maricopa,AZ,Arizona
85331,Cave Creek,Maricopa,AZ,Arizona
85361,Wittmann,Maricopa,AZ,Arizona
85363,Youngtown,Maricopa,AZ,Arizona
85381,Peoria,Maricopa,AZ,Arizona
86413,Golden Valley,Mohave,AZ,Arizona
86441,Dolan Springs,Mohave,AZ,Arizona
85933,Overgaard,Navajo,AZ,Arizona
86029,Sun Valley,Navajo,AZ,Arizona
85601,Arivaca,Pima,AZ,Arizona
85619,Mount Lemmon,Pima,AZ,Arizona
85639,Topawa,Pima,AZ,Arizona
85703,Tucson,Pima,AZ,Arizona
85711,Tucson,Pima,AZ,Arizona
85717,Tucson,Pima,AZ,Arizona
85733,Tucson,Pima,AZ,Arizona
85751,Tucson,Pima,AZ,Arizona
85121,Bapchule,Pinal,AZ,Arizona
85147,Sacaton,Pinal,AZ,Arizona
85193,Casa Grande,Pinal,AZ,Arizona
85621,Nogales,Santa Cruz,AZ,Arizona
86323,Chino Valley,Yavapai,AZ,Arizona
86341,Sedona,Yavapai,AZ,Arizona
85333,Dateland,Yuma,AZ,Arizona
85369,Yuma,Yuma,AZ,Arizona
94541,Hayward,Alameda,CA,California
94543,Hayward,Alameda,CA,California
94603,Oakland,Alameda,CA,California
94613,Oakland,Alameda,CA,California
94621,Oakland,Alameda,CA,California
94649,Oakland,Alameda,CA,California
94709,Berkeley,Alameda,CA,California
95629,Fiddletown,Amador,CA,California
95917,Biggs,Butte,CA,California
95929,Chico,Butte,CA,California
95233,Hathaway Pines,Calaveras,CA,California
95257,Wilseyville,Calaveras,CA,California
95987,Williams,Colusa,CA,California
94513,Brentwood,Contra Costa,CA,California
94529,Concord,Contra Costa,CA,California
94531,Antioch,Contra Costa,CA,California
94547,Hercules,Contra Costa,CA,California
